"rowid","term","contrast","lnex_ld_avg_before_year_prod_fac","estimate","std.error","statistic","p.value","s.value","conf.low","conf.high","predicted_lo","predicted_hi","predicted"
1,"CoType","mean(Collaboration) / mean(Service)",0,1.0581088037642,0.0197531753860874,53.5665169312197,0,Inf,1.01939329142717,1.09682431610123,0.263793644392718,0.279122377508978,0.263793644392718
2,"CoType","mean(Collaboration) / mean(Service)",0.135930105098769,1.05888850572964,0.0188734015425564,56.1048046024995,0,Inf,1.02189731844046,1.09587969301881,0.262871521556589,0.278351632659933,0.262871521556589
3,"CoType","mean(Collaboration) / mean(Service)",0.271860210197538,1.0596702933812,0.0180038315541002,58.8580430891595,0,Inf,1.02438343195144,1.09495715481096,0.261951475189563,0.277582196565762,0.261951475189563
4,"CoType","mean(Collaboration) / mean(Service)",0.407790315296307,1.0604541653391,0.0171467344741955,61.8458381644038,0,Inf,1.0268471833172,1.09406114736099,0.261033508645139,0.276814071535817,0.261033508645139
5,"CoType","mean(Collaboration) / mean(Service)",0.543720420395076,1.06124012021259,0.0163047777535044,65.087677750437,0,Inf,1.02928334303979,1.09319689738538,0.260117625214782,0.276047259852348,0.260117625214782
6,"CoType","mean(Collaboration) / mean(Service)",0.679650525493846,1.06202815660007,0.0154812077381103,68.6011178563064,0,Inf,1.03168554699619,1.09237076620394,0.259203828128074,0.275281763770539,0.259203828128074
7,"CoType","mean(Collaboration) / mean(Service)",0.815580630592615,1.06281827308918,0.0146798723032054,72.3996947069564,0,Inf,1.03404625207725,1.09159029410111,0.258292120552867,0.27451758551854,0.258292120552867
8,"CoType","mean(Collaboration) / mean(Service)",0.951510735691384,1.06361046825692,0.0139055323424646,76.4882955979239,0,Inf,1.03635612567984,1.09086481083401,0.257382505595433,0.273754727297499,0.257382505595433
9,"CoType","mean(Collaboration) / mean(Service)",1.08744084079015,1.06440474066975,0.0131637900127246,80.8585323558686,0,Inf,1.03860418634476,1.09020529499474,0.25647498630063,0.2729931912816,0.25647498630063
10,"CoType","mean(Collaboration) / mean(Service)",1.22337094588892,1.06520108888367,0.0124614333258304,85.4798209027602,0,Inf,1.0407771283693,1.08962504939805,0.255569565652055,0.272232979618097,0.255569565652055
11,"CoType","mean(Collaboration) / mean(Service)",1.35930105098769,1.06599951144437,0.0118065380575009,90.2889150276464,0,Inf,1.04285912206956,1.08913990081917,0.254666246572213,0.27147409442735,0.254666246572213
12,"CoType","mean(Collaboration) / mean(Service)",1.49523115608646,1.06680000688727,0.0112084984578733,95.1777805829031,0,Inf,1.04483175358907,1.08876826018548,0.253765031922681,0.270716537802865,0.253765031922681
13,"CoType","mean(Collaboration) / mean(Service)",1.63116126118523,1.06760257373771,0.0106780123517869,99.9813952789676,0,Inf,1.04667405410173,1.08853109337368,0.252865924504279,0.269960311811334,0.252865924504279
14,"CoType","mean(Collaboration) / mean(Service)",1.767091366284,1.06840721051096,0.0102267931819825,104.471381350829,0,Inf,1.04836306419693,1.08845135682498,0.251968927057244,0.269205418492668,0.251968927057244
15,"CoType","mean(Collaboration) / mean(Service)",1.90302147138277,1.06921391571239,0.0098669583354327,108.363071917796,0,Inf,1.04987503273798,1.08855279868679,0.251074042261399,0.268451859860048,0.251074042261399
16,"CoType","mean(Collaboration) / mean(Service)",2.03895157648154,1.07002268783755,0.00961004864466074,111.344148963497,0,Inf,1.05118733860434,1.08885803707077,0.250181272736337,0.267699637899955,0.250181272736337
17,"CoType","mean(Collaboration) / mean(Service)",2.17488168158031,1.07083352537229,0.00946579615011369,113.126620137434,0,Inf,1.05228090583307,1.08938614491151,0.249290621041597,0.266948754572222,0.249290621041597
18,"CoType","mean(Collaboration) / mean(Service)",2.31081178667907,1.07164642679283,0.00944066346849096,113.513889184753,0,Inf,1.05314306640443,1.09014978718124,0.248402089676852,0.266199211810071,0.248402089676852
19,"CoType","mean(Collaboration) / mean(Service)",2.44674189177784,1.0724613905659,0.00953690678834339,112.453798109543,0,Inf,1.05376939673683,1.09115338439497,0.247515681082089,0.265451011520162,0.247515681082089
