"rowid","term","contrast","lnex_ld_avg_before_year_co_lead","estimate","std.error","statistic","p.value","s.value","conf.low","conf.high","predicted_lo","predicted_hi","predicted"
1,"CoType","mean(Collaboration) / mean(Service)",0,1.2047486355455,0.0185887806196574,64.8105252407729,0,Inf,1.16831529501445,1.24118197607654,0.206496891594373,0.248776848392708,0.206496891594373
2,"CoType","mean(Collaboration) / mean(Service)",0.118594714142382,1.18388885323692,0.0171495652412667,69.0331700297652,0,Inf,1.15027632301352,1.21750138346032,0.211124264800199,0.249947663744795,0.211124264800199
3,"CoType","mean(Collaboration) / mean(Service)",0.237189428284763,1.16353374701902,0.015798618307027,73.647816815822,0,Inf,1.13256902413175,1.19449846990629,0.21582712831692,0.25112214731894,0.21582712831692
4,"CoType","mean(Collaboration) / mean(Service)",0.355784142427145,1.14367205339683,0.0145408881832456,78.6521455212478,0,Inf,1.11517243625444,1.17217167053921,0.220605454638956,0.252300293297474,0.220605454638956
5,"CoType","mean(Collaboration) / mean(Service)",0.474378856569527,1.12429275904574,0.0133829412814372,84.0093919118656,0,Inf,1.09806267612691,1.15052284196457,0.225459155227329,0.253482095682655,0.225459155227329
6,"CoType","mean(Collaboration) / mean(Service)",0.592973570711908,1.1053850952907,0.0123330425209842,89.6279319081185,0,Inf,1.08121277612977,1.12955741445163,0.230388078671332,0.254667548295953,0.230388078671332
7,"CoType","mean(Collaboration) / mean(Service)",0.71156828485429,1.08693853270631,0.0114012116440641,95.3353526484363,0,Inf,1.06459256850382,1.10928449690879,0.235392008911778,0.255856644777357,0.235392008911778
8,"CoType","mean(Collaboration) / mean(Service)",0.830162998996672,1.06894277583517,0.0105988889967332,100.854228793663,0,Inf,1.04816933512543,1.0897162165449,0.240470663533754,0.257049378584696,0.240470663533754
9,"CoType","mean(Collaboration) / mean(Service)",0.948757713139053,1.05138775802205,0.00993801485369197,105.794544836232,0,Inf,1.03190960683099,1.07086590921311,0.24562369213695,0.258245742992967,0.24562369213695
10,"CoType","mean(Collaboration) / mean(Service)",1.06735242728143,1.03426363636114,0.0094294387732734,109.684538097075,0,Inf,1.0157822759711,1.05274499675119,0.250850674791678,0.259445731093688,0.250850674791678
11,"CoType","mean(Collaboration) / mean(Service)",1.18594714142382,1.01756078675405,0.00908065240397497,112.058114492812,0,Inf,0.999763035086137,1.03535853842197,0.256151120588785,0.260649335794257,0.256151120588785
12,"CoType","mean(Collaboration) / mean(Service)",1.3045418555662,1.00126979907615,0.00889339929702804,112.585724044883,0,Inf,0.983839056753845,1.01870054139846,0.261524466291643,0.261856549817332,0.261524466291643
13,"CoType","mean(Collaboration) / mean(Service)",1.42313656970858,0.985381472448827,0.00886215876488263,111.189778765138,0,Inf,0.968011960444381,1.00275098445327,0.266970075098385,0.263067365700221,0.266970075098385
14,"CoType","mean(Collaboration) / mean(Service)",1.54173128385096,0.96988681061538,0.00897423427074849,108.07460350982,0,Inf,0.952297634655888,0.987475986574872,0.272487235522473,0.264281775794294,0.272487235522473
15,"CoType","mean(Collaboration) / mean(Service)",1.66032599799334,0.95477701741832,0.0092115556194249,103.649921562101,0,Inf,0.936722700162659,0.97283133467398,0.278075160399551,0.265499772264404,0.278075160399551
16,"CoType","mean(Collaboration) / mean(Service)",1.77892071213572,0.940043492375805,0.00955341262242466,98.3987114896772,0,Inf,0.921319147706402,0.958767837045207,0.283732986028377,0.266721347088331,0.283732986028377
17,"CoType","mean(Collaboration) / mean(Service)",1.89751542627811,0.925677826355096,0.00997906524728469,92.7619775416313,0,Inf,0.906119217871043,0.94523643483915,0.289459771453407,0.267946492056233,0.289459771453407
18,"CoType","mean(Collaboration) / mean(Service)",2.01611014042049,0.911671797340907,0.0104695328937021,87.0785551368118,0,Inf,0.891151889934294,0.932191704747521,0.295254497896319,0.269175198770124,0.295254497896319
19,"CoType","mean(Collaboration) / mean(Service)",2.13470485456287,0.898017366296562,0.0110085059300255,81.5748632925055,0,Inf,0.876441091150116,0.919593641443007,0.301116068343449,0.27040745864336,0.301116068343449
20,"CoType","mean(Collaboration) / mean(Service)",2.25329956870525,0.884706673115958,0.0115825591761065,76.3826594506857,0,Inf,0.862005274281986,0.907408071949931,0.307043307295751,0.271643262900145,0.307043307295751
21,"CoType","mean(Collaboration) / mean(Service)",2.37189428284763,0.871732032664347,0.0121809332514568,71.5652909895133,0,Inf,0.847857842193405,0.895606223135289,0.313034960687429,0.272882602575056,0.313034960687429
22,"CoType","mean(Collaboration) / mean(Service)",2.49048899699001,0.859085930905982,0.0127951579611316,67.141486921511,0,Inf,0.834007882125663,0.884163979686301,0.31908969597895,0.274125468512583,0.31908969597895
23,"CoType","mean(Collaboration) / mean(Service)",2.6090837111324,0.846761021116759,0.0134186582094215,63.1032557727887,0,Inf,0.82046093430544,0.873061107928078,0.325206102429594,0.275371851366685,0.325206102429594
24,"CoType","mean(Collaboration) / mean(Service)",2.72767842527478,0.834750120179982,0.0140463560676235,59.428232928258,0,Inf,0.807219768173414,0.86228047218655,0.331382691554117,0.276621741600365,0.331382691554117
25,"CoType","mean(Collaboration) / mean(Service)",2.84627313941716,0.823046204963445,0.0146743620946285,56.0873583230386,0,Inf,0.794284983761873,0.851807426165017,0.337617897767489,0.277875129485268,0.337617897767489
26,"CoType","mean(Collaboration) / mean(Service)",2.96486785355954,0.811642408776052,0.0152997157569877,53.0495090018492,0,Inf,0.781655516918656,0.841629300633448,0.343910079220989,0.279132005101287,0.343910079220989
27,"CoType","mean(Collaboration) / mean(Service)",3.08346256770192,0.800532017902245,0.0159201683988923,50.2841425947445,0,Inf,0.769329061212603,0.831734974591887,0.350257518832223,0.280392358336193,0.350257518832223
28,"CoType","mean(Collaboration) / mean(Service)",3.2020572818443,0.789708468212536,0.016534035726845,47.7625959722798,0,Inf,0.757302353668822,0.822114582756251,0.356658425510875,0.281656178885288,0.356658425510875
29,"CoType","mean(Collaboration) / mean(Service)",3.32065199598669,0.779165341848489,0.0171400742444785,45.4586911780437,0,Inf,0.745571413636968,0.812759270060009,0.36311093558122,0.282923456251066,0.36311093558122
30,"CoType","mean(Collaboration) / mean(Service)",3.43924671012907,0.768896363980514,0.0177373809297476,43.3489232162223,0,Inf,0.734131736178141,0.803660991782887,0.369613114401593,0.284194179742899,0.369613114401593
31,"CoType","mean(Collaboration) / mean(Service)",3.55784142427145,0.758895399636905,0.0183252953024037,41.4124513200811,0,Inf,0.722978480838133,0.794812318435677,0.376162958180176,0.285468338476745,0.376162958180176
32,"CoType","mean(Collaboration) / mean(Service)",3.67643613841383,0.74915645060254,0.0189034144482744,39.6307478023331,0,Inf,0.712106439099088,0.786206462105992,0.382758395985568,0.28674592137487,0.382758395985568
33,"CoType","mean(Collaboration) / mean(Service)",3.79503085255621,0.73967365238575,0.0194714462424406,37.9876072468379,0,Inf,0.701510319023658,0.777836985747841,0.389397291949747,0.288026917165589,0.389397291949747
34,"CoType","mean(Collaboration) / mean(Service)",3.91362556669859,0.730441271251837,0.0200292761414572,36.4686804502109,3.47967710976915e-291,964.882122172168,0.691184611378173,0.7696979311255,0.396077447660108,0.289311314383032,0.396077447660108
35,"CoType","mean(Collaboration) / mean(Service)",4.03222028084098,0.721453701321822,0.0205768546995864,35.061417882118,2.61214982201152e-269,892.213419878477,0.681123807195519,0.761783595448125,0.402796604736382,0.290599101366926,0.402796604736382
36,"CoType","mean(Collaboration) / mean(Service)",4.15081499498336,0.712705461734967,0.0211142282418407,33.7547483891759,9.10629230480622e-250,827.295159952366,0.6713223348196,0.754088588650333,0.4095524475873,0.291890266262393,0.4095524475873
37,"CoType","mean(Collaboration) / mean(Service)",4.26940970912574,0.70419119387369,0.0216415045682751,32.5389203718297,3.00387029279701e-232,769.100495495283,0.661774624348612,0.746607763398768,0.416342606341038,0.293184797019779,0.416342606341038
38,"CoType","mean(Collaboration) / mean(Service)",4.38800442326812,0.695905658649522,0.0221588429346157,31.4053247591915,1.71153105417021e-216,716.761181026699,0.652475124558595,0.739336192740448,0.423164659942512,0.294482681394495,0.423164659942512
39,"CoType","mean(Collaboration) / mean(Service)",4.5065991374105,0.687843733848746,0.0226664300569303,30.3463638570838,2.80593858861544e-202,669.540991733082,0.643418347279066,0.732269120418425,0.430016139409826,0.295783906946877,0.430016139409826
40,"CoType","mean(Collaboration) / mean(Service)",4.62519385155288,0.680000411536441,0.0231644918369058,29.355291552438,2.0453935847129e-189,626.812031453342,0.634598841815934,0.725401981256949,0.436894531241256,0.297088461042075,0.436894531241256
