"rowid","term","contrast","lnex_ld_avg_before_year_participation","estimate","std.error","statistic","p.value","s.value","conf.low","conf.high","predicted_lo","predicted_hi","predicted"
1,"CoType","mean(Collaboration) / mean(Service)",0,1.14322381112184,0.013665502791589,83.6576471833504,0,Inf,1.11643991781969,1.17000770442398,0.228003526582793,0.2606590606092,0.228003526582793
2,"CoType","mean(Collaboration) / mean(Service)",0.131802822109077,1.12990226983008,0.0123736296427944,91.315345815935,0,Inf,1.10565040137216,1.15415413828799,0.230815718151194,0.260799203851494,0.230815718151194
3,"CoType","mean(Collaboration) / mean(Service)",0.263605644218155,1.116786019993,0.0113002568032343,98.8283752696098,0,Inf,1.09463792364261,1.1389341163434,0.233652097337715,0.260939395848805,0.233652097337715
4,"CoType","mean(Collaboration) / mean(Service)",0.395408466327232,1.10387193368058,0.0104854750595374,105.276291957466,0,Inf,1.0833207802031,1.12442308715807,0.236512614030326,0.261079636589505,0.236512614030326
5,"CoType","mean(Collaboration) / mean(Service)",0.527211288436309,1.09115693061314,0.00996585162655657,109.489582175343,0,Inf,1.07162422034982,1.11068964087647,0.23939721110065,0.261219926061933,0.23939721110065
6,"CoType","mean(Collaboration) / mean(Service)",0.659014110545387,1.07863797743577,0.00976253949484973,110.487438028272,0,Inf,1.05950375162821,1.09777220324332,0.242305824309766,0.261360264254392,0.242305824309766
7,"CoType","mean(Collaboration) / mean(Service)",0.790816932654464,1.0663120870037,0.00987080359712406,108.026877093814,0,Inf,1.04696566745487,1.08565850655253,0.245238382216938,0.261500651155154,0.245238382216938
8,"CoType","mean(Collaboration) / mean(Service)",0.922619754763541,1.05417631767869,0.0102587567069312,102.7586819528,0,Inf,1.03406952400695,1.07428311135044,0.248194806091443,0.261641086752454,0.248194806091443
9,"CoType","mean(Collaboration) / mean(Service)",1.05442257687262,1.04222777263599,0.010876922426786,95.8200979782067,0,Inf,1.02090939641686,1.06354614885513,0.251175009827651,0.261781571034496,0.251175009827651
10,"CoType","mean(Collaboration) / mean(Service)",1.1862253989817,1.03046359918194,0.011671568443023,88.2883568058861,0,Inf,1.00758774539052,1.05333945297335,0.254178899863501,0.261922103989448,0.254178899863501
11,"CoType","mean(Collaboration) / mean(Service)",1.31802822109077,1.01888098808189,0.0125942714211356,80.9003517561176,0,Inf,0.994196669684943,1.04356530647884,0.257206375102548,0.262062685605445,0.257206375102548
